model_eff,task,depth,arm,k0_acc,threshold_dots,acc_at_max,max_dots,compliant_model_arm
gpt-5.6-sol:none,perm,3,XB,0.225,inf,0.45,1130,1.0
gpt-5.6-sol:none,perm,3,XC,0.225,140.0,0.625,1130,0.9977272727272727
gpt-5.6-sol:none,perm,4,XB,0.2,inf,0.125,1450,1.0
gpt-5.6-sol:none,perm,4,XC,0.2,inf,0.075,1450,0.9708333333333333
gpt-5.6-sol:none,perm,6,XB,0.1625,inf,0.175,2090,1.0
gpt-5.6-sol:none,perm,6,XC,0.1625,inf,0.2,2090,0.9208333333333334
gpt-5.6-sol:none,perm,8,XB,0.0875,inf,0.125,2730,1.0
gpt-5.6-sol:none,perm,8,XC,0.0875,inf,0.075,2730,0.8875000000000001
gpt-5.6-sol:none,lookup,3,XB,0.775,70.0,0.9,700,1.0
gpt-5.6-sol:none,lookup,3,XC,0.775,70.0,0.95,700,1.0
gpt-5.6-sol:none,lookup,4,XB,0.05,inf,0.3,700,1.0
gpt-5.6-sol:none,lookup,4,XC,0.05,inf,0.275,700,1.0
gpt-5.6-sol:none,modchain,4,XB,0.775,inf,0.8,700,1.0
gpt-5.6-sol:none,modchain,4,XC,0.775,inf,0.75,700,1.0
gpt-5.6-sol:none,modchain,6,XB,0.375,inf,0.375,700,1.0
gpt-5.6-sol:none,modchain,6,XC,0.375,inf,0.425,700,1.0
gpt-5.6-sol:none,reach,3,XB,0.775,340.0,0.85,700,1.0
gpt-5.6-sol:none,reach,3,XC,0.775,140.0,0.775,700,0.9857142857142857
gpt-5.6-sol:none,reach,4,XB,0.6,inf,0.7,700,1.0
gpt-5.6-sol:none,reach,4,XC,0.6,inf,0.675,700,1.0
gpt-5.6-sol:none,stack,8,XB,0.725,70.0,0.9,700,1.0
gpt-5.6-sol:none,stack,8,XC,0.725,140.0,0.85,700,1.0
gpt-5.6-sol:none,stack,12,XB,0.525,inf,0.625,700,1.0
gpt-5.6-sol:none,stack,12,XC,0.525,inf,0.6,700,1.0
gpt-5.6-sol:none,xor,24,XB,0.825,1.0,0.925,700,1.0
gpt-5.6-sol:none,xor,24,XC,0.825,140.0,0.825,700,1.0
gpt-5.6-sol:none,xor,32,XB,0.625,140.0,0.725,700,1.0
gpt-5.6-sol:none,xor,32,XC,0.625,inf,0.525,700,1.0
gpt-6-astra:low,perm,3,XB,1.0,1.0,1.0,140,1.0
gpt-6-astra:low,perm,3,XC,1.0,2.0,1.0,140,1.0
gpt-6-astra:low,perm,4,XB,0.975,2.0,1.0,140,1.0
gpt-6-astra:low,perm,4,XC,0.975,10.0,1.0,140,1.0
gpt-6-astra:low,perm,6,XB,0.575,40.0,1.0,2090,1.0
gpt-6-astra:low,perm,6,XC,0.575,20.0,1.0,2090,0.9937499999999999
gpt-6-astra:low,perm,8,XB,0.0375,140.0,0.9,2730,1.0
gpt-6-astra:low,perm,8,XC,0.0375,140.0,0.7,2730,1.0
gpt-6-astra:low,perm,12,XB,0.15,inf,0.1,4010,1.0
gpt-6-astra:low,perm,12,XC,0.15,inf,0.15,4010,0.9625
gpt-6-astra:low,lookup,4,XB,0.925,5.0,1.0,700,1.0
gpt-6-astra:low,lookup,4,XC,0.925,1.0,1.0,700,1.0
gpt-6-astra:low,lookup,6,XB,0.75,70.0,1.0,700,1.0
gpt-6-astra:low,lookup,6,XC,0.75,70.0,1.0,700,1.0
gpt-6-astra:low,lookup,8,XB,0.6,70.0,1.0,700,1.0
gpt-6-astra:low,lookup,8,XC,0.6,70.0,1.0,700,1.0
gpt-6-astra:low,modchain,8,XB,0.875,5.0,1.0,700,1.0
gpt-6-astra:low,modchain,8,XC,0.875,5.0,1.0,700,0.9964285714285713
gpt-6-astra:low,modchain,12,XB,0.6,70.0,0.975,700,1.0
gpt-6-astra:low,modchain,12,XC,0.6,70.0,0.925,700,1.0
gpt-6-astra:low,reach,4,XB,0.9,20.0,1.0,700,1.0
gpt-6-astra:low,reach,4,XC,0.9,1.0,1.0,700,1.0
gpt-6-astra:low,reach,6,XB,0.675,5.0,1.0,700,1.0
gpt-6-astra:low,reach,6,XC,0.675,20.0,1.0,700,1.0
gpt-6-astra:low,reach,8,XB,0.625,140.0,1.0,700,1.0
gpt-6-astra:low,reach,8,XC,0.625,70.0,1.0,700,0.9964285714285713
gpt-6-astra:low,stack,24,XB,0.95,1.0,1.0,700,1.0
gpt-6-astra:low,stack,24,XC,0.95,5.0,1.0,700,0.9964285714285713
gpt-6-astra:low,stack,32,XB,0.725,inf,0.85,700,1.0
gpt-6-astra:low,stack,32,XC,0.725,inf,0.85,700,1.0
gpt-6-astra:low,xor,48,XB,0.925,1.0,0.85,700,1.0
gpt-6-astra:low,xor,48,XC,0.925,20.0,0.925,700,1.0
gpt-6-astra:low,xor,64,XB,0.625,inf,0.7,700,1.0
gpt-6-astra:low,xor,64,XC,0.625,140.0,0.675,700,1.0
